'COUNTRY','YNG','PCI'
'LATIN',32.2,788
'LATIN',47,202
'LATIN',34,825
'LATIN',36,675
'LATIN',38.7,590
'LATIN',40.9,408
'LATIN',45,324
'LATIN',45.4,235
'LATIN',42.2,338
'LATIN',44,292
'LATIN',44,321
'LATIN',43,300
'LATIN',43,323
'LATIN',40,484
'LATIN',37,625
'LATIN',39,525
'LATIN',44.6,340
'LATIN',33,765
'LATIN',35,685
'LATIN',47.4,220
'LATIN',48,195
'LATIN',37,605
'LATIN',38.4,530
'LATIN',40.6,480
'LATIN',35.8,690
'LATIN',36,685
'AFRICAN',34,317
'AFRICAN',36,270
'AFRICAN',38.2,208
'AFRICAN',43,150
'AFRICAN',44,105
'AFRICAN',44,128
'AFRICAN',45,85
'AFRICAN',48,75
'AFRICAN',40,210
'AFRICAN',41,188
'AFRICAN',42,166
'AFRICAN',45,132
'AFRICAN',36,290
'AFRICAN',42.6,160
'AFRICAN',33,300
'AFRICAN',33,320
'AFRICAN',47,85
'AFRICAN',47,75
'AFRICAN',39,225
'AFRICAN',39,232
'AFRICAN',37,260
'AFRICAN',37,250
'AFRICAN',46,92
'AFRICAN',45.6,110
'AFRICAN',42,180
'AFRICAN',38.8,235
