'HOUSE'	'Y'	'X1'	'X2'	'X3'	'X4'	'Z'
1	84	13.8	3	7	10	0
2	93	19	2	7	22	1
3	83.1	10	2	7	15	1
4	85.2	15	3	7	12	1
5	85.2	12	3	7	8	1
6	85.2	15	3	7	12	1
7	85.2	12	3	7	8	1
8	63.3	9.1	3	6	2	1
9	84.3	12.5	3	7	11	1
10	84.3	12.5	3	7	11	1
11	77.4	12	3	7	5	0
12	92.4	17.9	3	7	18	0
13	92.4	17.9	3	7	18	0
14	61.5	9.5	2	5	8	0
15	88.5	16	3	7	11	0
16	88.5	16	3	7	11	0
17	40.6	8	2	5	5	0
18	81.6	11.8	3	7	8	1
19	86.7	16	3	7	9	0
20	89.7	16.8	2	7	12	0
21	86.7	16	3	7	9	0
22	89.7	16.8	2	7	12	0
23	75.9	9.5	3	6	6	1
24	78.9	10	3	6	11	0
25	87.9	16.5	3	7	15	0
26	91	15.1	3	7	8	1
27	92	17.9	3	8	13	1
28	87.9	16.5	3	7	15	0
29	90.9	15	3	7	8	1
30	91.9	17.8	3	8	13	1
