'OBS'	'COPEPODS'	'ZOOPLANK'	'PHYTOPLA'
1	585	1560	475.54
2	111	1191	96.96
3	48	537	521.31
4	33	597	26.3
5	372	1710	49.02
6	3	993	86.77
7	7	86	225.45
8	117	468	209.75
9	123	714	101.46
10	153	836	89.52
11	18	684	1133.49
12	15	36	69.18
13	21	489	84.04
14	129	888	684.61
15	60	369	827.06
16	144	258	360.92
17	30	45	26.99
18	1080	1308	42.02
19	18	321	33.14
20	108	210	99.41
21	146	1052	65.01
22	33	264	125.37
23	258	1527	213.63
24	39	2151	4554.82
25	264	696	548.64
26	120	430	971.28
27	269	827	63.04
28	226	285	419.37
29	90	174	328.98
30	237	351	1361.87
31	708	936	80.62
32	315	351	62.17
33	12	336	49.19
34	74	117	28.02
35	66	156	81.99
36	141	156	403.45
37	192	3483	110
38	12	284	117.52
39	120	1182	63.19
40	129	2436	7710.88
41	18	504	1075.25
42	222	264	481.86
43	18	24	37.58
44	378	732	35.19
45	66	924	312.75
46	3	46	174
47	879	1221	44.07
48	60	324	53.63
49	228	1641	2646.53
50	729	1809	87.11
51	150	228	493.92
52	60	108	63.54
53	279	804	24.59
54	84	252	34.16
55	36	279	49.53
56	240	1317	7069.31
57	26	100	839.62
58	42	57	701.06
59	258	285	48.51
60	3	597	1031.35
61	186	3780	1195.33
62	573	4932	42.7
63	521	715	252.26
64	39	234	28.01
65	3	84	80.79
66	12	660	302.68
67	81	225	17.25
68	36	126	69.69
69	570	900	1316.26
70	78	4119	50.22
71	420	486	117.52
72	297	744	44.06
73	15	207	13.66
74	27	93	28.69
75	171	258	235.72
76	561	1473	141.77
77	405	465	393.38
78	54	66	72.77
79	87	204	5.29
80	81	468	449.74
81	162	189	287.64
82	402	466	139.86
83	429	468	43.73
84	42	340	9.19
85	252	324	20.84
86	408	671	227.18
87	171	408	104.71
88	30	432	332.39
89	162	261	156.28
90	150	1431	287.64
91	66	69	36.33
92	54	287	233
93	276	360	131.52
94	48	345	89.5
95	150	336	99.92
96	96	873	521.65
97	90	450	1122.39
98	237	276	279.79
99	143	657	21.45
100	243	426	39.29
