'OBS','AGEGROUP','PPM_CO','REACTIM1','REACTIM2'
1,'Young',0,291.5,632
2,'Young',0,471,607.5
3,'Young',0,692,859
4,'Young',0,376,484
5,'Young',0,372.5,501
6,'Young',0,307,381
7,'Young',0,501,559
8,'Young',0,466,632
9,'Young',0,375,434
10,'Young',0,425,454
11,'Young',0,343,542
12,'Young',0,348,471
13,'Young',0,503,521
14,'Young',0,382.5,519
15,'Young',100,472.5,515
16,'Young',100,354,521
17,'Young',100,350,456
18,'Young',100,486,522
19,'Young',100,402,472
20,'Young',100,347,414
21,'Young',100,320,363
22,'Young',100,446,591
23,'Young',100,410,539.5
24,'Young',100,302,472.5
25,'Young',100,692.5,656
26,'Young',100,447.5,548
27,'Young',100,525.5,527
28,'Young',100,322.5,574
29,'Young',100,468.5,559.5
30,'Young',100,378,499.5
31,'Young',100,497.5,529.5
32,'Old',0,542,595
33,'Old',0,599,606
34,'Old',0,562,598
35,'Old',0,586,744
36,'Old',0,674,724
37,'Old',0,762,836.5
38,'Old',0,697,834
39,'Old',0,583,698.5
40,'Old',0,533.5,668
41,'Old',0,524.5,670
42,'Old',0,500,587
43,'Old',0,680,912.5
44,'Old',0,563.5,619
45,'Old',100,523.5,646.5
46,'Old',100,770,862.5
47,'Old',100,712,829
48,'Old',100,653,697
49,'Old',100,699.5,818
50,'Old',100,561,819.5
51,'Old',100,751,872
52,'Old',100,520.5,889
53,'Old',100,523,601
