'OBS','AIRTEMP','DOSE','BODYTEMP'
1,21,0,37.2
2,21,0,37.2
3,21,0,36.8
4,21,0.05,37.1
5,21,0.05,36.9
6,21,0.05,36.8
7,21,0.1,37.1
8,21,0.1,37.1
9,21,0.1,37.1
10,25,0,36.9
11,25,0,37
12,25,0,37.1
13,25,0.05,37.1
14,25,0.05,36.7
15,25,0.05,37
16,25,0.1,36.9
17,25,0.1,37
18,25,0.1,37.3
19,29,0,36.9
20,29,0,37
21,29,0,36.8
22,29,0.05,36.9
23,29,0.05,37
24,29,0.05,36.9
25,29,0.1,36.9
26,29,0.1,37
27,29,0.1,37.2
28,33,0,37.1
29,33,0,37.3
30,33,0,36.7
31,33,0.05,36.9
32,33,0.05,37
33,33,0.05,37
34,33,0.1,36.9
35,33,0.1,36.8
36,33,0.1,37.2
